name,price,brand,category,subcategory,sku,image_url,link
"Гидроцилиндр 40.25.160.350.20 (ШС) М16х1,5 наруж. ГУР на трактора класса Синтай",3 440.00₽,Xingtai,Гидравлика,Гидроцилиндры,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/02/26c181cc92ab11eb9220704d7b641f5c_1f823f978e3311f09b13d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b3%d0%b8%d0%b4%d1%80%d0%b0%d0%b2%d0%bb%d0%b8%d0%ba%d0%b0/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%86%d0%b8%d0%bb%d0%b8%d0%bd%d0%b4%d1%80%d1%8b/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%86%d0%b8%d0%bb%d0%b8%d0%bd%d0%b4%d1%80-40-25-160-350-20-%d1%88%d1%81-%d0%bc16%d1%8515-%d0%bd%d0%b0%d1%80%d1%83%d0%b6-%d0%b3%d1%83%d1%80-%d0%bd%d0%b0-%d1%82%d1%80/
Комплект РВД для ГУР гидроусилитель руля на трактора класса Синтай,5 790.00₽,Xingtai,Гидравлика,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/03/215e1f87b97c11ec889a704d7b641f5c_16b908fa072c11ed89c8704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/%d0%be%d0%bf%d1%86%d0%b8%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/%d0%ba%d0%be%d0%bc%d0%bf%d0%bb%d0%b5%d0%ba%d1%82-%d1%80%d0%b2%d0%b4-%d0%b4%d0%bb%d1%8f-%d0%b3%d1%83%d1%80-%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%83%d1%81%d0%b8%d0%bb%d0%b8%d1%82%d0%b5%d0%bb%d1%8c-%d1%80/
Головка блока цилиндров (ГБЦ) DL190А-12 “голая” Xingtai 120,12 710.00₽,Xingtai,Двигатель,Дизельные двигатели,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/74d7164c952711ee8b23d85ed391f4ed_cd8509f1c4ce11ee8b25d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d0%b5%d0%b9/%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-dlh1100-dlh195-dl190-12/%d0%b3%d0%be%d0%bb%d0%be%d0%b2%d0%ba%d0%b0-%d0%b1%d0%bb%d0%be%d0%ba%d0%b0-%d1%86%d0%b8%d0%bb%d0%b8%d0%bd%d0%b4%d1%80%d0%be%d0%b2-%d0%b3%d0%b1%d1%86-dl190%d0%b0-12-%d0%b3%d0%be%d0%bb%d0%b0%d1%8f-xi/
ТНВД – Насос топливный высокого давления DL190-12 Xingtai 120,2 960.00₽,Xingtai,Двигатель,Гидронасосы,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/9c444da3952511ee8b23d85ed391f4ed_424a1ffbc4ba11ee8b25d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d0%b5%d0%b9/%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-dlh1100-dlh195-dl190-12/%d1%82%d0%bd%d0%b2%d0%b4-%d0%bd%d0%b0%d1%81%d0%be%d1%81-%d1%82%d0%be%d0%bf%d0%bb%d0%b8%d0%b2%d0%bd%d1%8b%d0%b9-%d0%b2%d1%8b%d1%81%d0%be%d0%ba%d0%be%d0%b3%d0%be-%d0%b4%d0%b0%d0%b2%d0%bb%d0%b5%d0%bd-16/
ТНВД – Насос топливный высокого давления DLH1105; DLH1110; DLH1115 Xingtai 160-180,2 960.00₽,Xingtai,Двигатель,Гидронасосы,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/06/a23502c5952611ee8b23d85ed391f4ed_32e1c8c3808711ef9af640167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d0%b5%d0%b9/%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-dlh1100-dlh195-dl190-12/%d1%82%d0%bd%d0%b2%d0%b4-%d0%bd%d0%b0%d1%81%d0%be%d1%81-%d1%82%d0%be%d0%bf%d0%bb%d0%b8%d0%b2%d0%bd%d1%8b%d0%b9-%d0%b2%d1%8b%d1%81%d0%be%d0%ba%d0%be%d0%b3%d0%be-%d0%b4%d0%b0%d0%b2%d0%bb%d0%b5%d0%bd-17/
Форсунка в сборе DL190А-12 для Xingtai 120,3 180.00₽,Xingtai,Двигатель,Дизельные двигатели,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/5a59c44f952411ee8b23d85ed391f4ed_c1152b8ec4ba11ee8b25d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d0%b5%d0%b9/%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-dlh1100-dlh195-dl190-12/%d1%84%d0%be%d1%80%d1%81%d1%83%d0%bd%d0%ba%d0%b0-%d0%b2-%d1%81%d0%b1%d0%be%d1%80%d0%b5-dl190%d0%b0-12-%d0%b4%d0%bb%d1%8f-xingtai-120/
Храповик декомпрессионный DLH110 DL190-12/ Xingtai 120,273.00₽,Xingtai,Двигатель,Дизельные двигатели,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/woocommerce-placeholder.png,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d0%b5%d0%b9/%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-dlh1100-dlh195-dl190-12/%d1%85%d1%80%d0%b0%d0%bf%d0%be%d0%b2%d0%b8%d0%ba-%d0%b4%d0%b5%d0%ba%d0%be%d0%bc%d0%bf%d1%80%d0%b5%d1%81%d1%81%d0%b8%d0%be%d0%bd%d0%bd%d1%8b%d0%b9-dlh110-dl190-12-xingtai-120/
Груз (Противовес) 43 кг Синтай/Xingtai 504 комплект,11 400.00₽,Xingtai,Прочее,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2022/01/WhatsApp-Image-2022-01-17-at-10.56.03-250x333.jpeg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%bf%d1%80%d0%be%d1%87%d0%b8%d0%b5-%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8/%d0%bf%d1%80%d0%be%d1%82%d0%b8%d0%b2%d0%be%d0%b2%d0%b5%d1%81%d1%8b-%d1%81%d0%b8%d0%bd%d1%82%d0%b0%d0%b9-xingtai-504/
Груз (Противовес) 84 кг Скаут/Синтай/Xingtai комплект,19 900.00₽,Xingtai,Прочее,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2023/12/WhatsApp-Image-2023-12-11-at-16.35.32-1-250x333.jpeg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%bf%d1%80%d0%be%d1%87%d0%b8%d0%b5-%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8/%d0%b3%d1%80%d1%83%d0%b7-%d0%bf%d1%80%d0%be%d1%82%d0%b8%d0%b2%d0%be%d0%b2%d0%b5%d1%81-84-%d0%ba%d0%b3-%d1%81%d0%ba%d0%b0%d1%83%d1%82-%d1%81%d0%b8%d0%bd%d1%82%d0%b0%d0%b9-xingtai-%d0%ba%d0%be%d0%bc/
"Диск нажимной корзины сцепления для ременных тракторов Синтай XT-24B, Шифенг SF- 244",865.00₽,Xingtai,Прочее,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/9573ce14245311e9aa09704d7b641f5c_96a1d28d2dc311e9b1d6704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/%d0%bf%d1%80%d0%be%d1%87%d0%b8%d0%b5-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%b0-shifeng-%d1%88%d0%b8%d1%84%d0%b5%d0%bd%d0%b3-mahindra-yto/%d0%b4%d0%b8%d1%81%d0%ba-%d0%bd%d0%b0%d0%b6%d0%b8%d0%bc%d0%bd%d0%be%d0%b9-%d0%ba%d0%be%d1%80%d0%b7%d0%b8%d0%bd%d1%8b-%d1%81%d1%86%d0%b5%d0%bf%d0%bb%d0%b5%d0%bd%d0%b8%d1%8f-%d0%b4%d0%bb%d1%8f-%d1%80/
"Шестерня КПП 19/6Т Xingtai 24B, Shifeng 244,Taishan 24",1 260.00₽,Xingtai,Прочее,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/593a7e2a3db411ef9ada40167eb2b975_cbd70ad73db411ef9ada40167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/%d0%bf%d1%80%d0%be%d1%87%d0%b8%d0%b5-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%b0-shifeng-%d1%88%d0%b8%d1%84%d0%b5%d0%bd%d0%b3-mahindra-yto/%d1%88%d0%b5%d1%81%d1%82%d0%b5%d1%80%d0%bd%d1%8f-%d0%ba%d0%bf%d0%bf-19-6%d1%82-xingtai-24b-shifeng-244taishan-24/
"Пыльник (Кольцо пылезащитное) передней ступицы 36х62 Xingtai 24B, Shifeng 244, Taishan 25",246.00₽,Xingtai,Стандартные изделия,Кольца,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/55e0d6696cb111ee8b20d85ed391f4ed_a445d88f6cb211ee8b20d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/%d0%bf%d1%80%d0%be%d1%87%d0%b8%d0%b5-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%b0-shifeng-%d1%88%d0%b8%d1%84%d0%b5%d0%bd%d0%b3-mahindra-yto/%d0%bf%d1%8b%d0%bb%d1%8c%d0%bd%d0%b8%d0%ba-%d0%ba%d0%be%d0%bb%d1%8c%d1%86%d0%be-%d0%bf%d1%8b%d0%bb%d0%b5%d0%b7%d0%b0%d1%89%d0%b8%d1%82%d0%bd%d0%be%d0%b5-%d0%bf%d0%b5%d1%80%d0%b5%d0%b4%d0%bd%d0%b5/
